ASB ID,Control Domain,CIS Controls v7.1 ID(s),CIS Controls v8 ID(s),NIST SP800-53 r4 ID(s),PCI-DSS v3.2.1 ID(s),Recommendation,Addressed with custom ESLZ policies?,Addressed with assigned built-in policies in ESLZ?
DS-6,DevOps Security,"5.2 - Deploy System Configuration Management Tools
5.3 - Securely Store Master Images
5.4 - Deploy System Configuration Management Tools
5.5 - Implement Automated Configuration Monitoring Systems
18.1 - Establish Secure Coding Practices","7.5 - Perform Automated Vulnerability Scans of Internal Enterprise Assets
7.6 - Perform Automated Vulnerability Scans of Externally-Exposed Enterprise Assets
7.7 - Remediate Detected Vulnerabilities
16.1 - Establish and Maintain a Secure Application Development Process
16.7 - Use Standard Hardening Configuration Templates for Application Infrastructure","CM-2: BASELINE CONFIGURATION
CM-6: CONFIGURATION SETTINGS
AC-2: ACCOUNT MANAGEMENT
AC-3: ACCESS ENFORCEMENT
AC-6: LEAST PRIVILEGE","6.1
6.2
6.3
",Enforce security of workload throughout DevOps lifecycle,n/a,Yes
DS-7,DevOps Security,"6.2 - Activate audit logging
6.3 - Enable Detailed Logging
6.5 - Central Log Management
6.6 - Deploy SIEM or Log Analytic tool
6.7 - Regularly Review Logs
6.8 - Regularly Tune SIEM","8.2 Collect Audit Logs
8.5 Collect Detailed Audit Logs
8.9 Centralize Audit Logs
8.11 Conduct Audit Log Reviews","AU-3: CONTENT OF AUDIT RECORDS
AU-6: AUDIT REVIEW, ANALYSIS, AND REPORTING
AU-12: AUDIT GENERATION
SI-4: INFORMATION SYSTEM MONITORING","10.1
10.2
10.3
10.6",Enable logging and monitoring in DevOps,n/a,n/a
GS-1,Governance and Strategy,17.2 - Deliver Training to Fill the Skills Gap,14.9 - Conduct Role-Specific Security Awareness and Skills Training,"PL-9: CENTRAL MANAGEMENT
PM-10: SECURITY AUTHORIZATION PROCESS
PM-13: INFORMATION SECURITY WORKFORCE	
AT-1: SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES
AT-3: ROLE-BASED SECURITY TRAINING
",12.4,"Align organization roles, responsibilities and accountabilities",n/a,n/a
GS-2,Governance and Strategy,"2.10 - Physically or Logically Segregate High Risk Applications
14.1 - Segment the Network Based on Sensitivity
",3.12 - Segment Data Processing and Storage Based on Sensitivity,"AC-4: INFORMATION FLOW ENFORCEMENT
SC-7: BOUNDARY PROTECTION
SC-2: APPLICATION PARTITIONING","1.2
6.4
",Define and implement enterprise segmentation/separation of duties strategy ,n/a,n/a
GS-3,Governance and Strategy,"14.1 - Segment the Network Based on Sensitivity

","3.1 - Establish and Maintain a Data Management Process
3.7 - Establish and Maintain a Data Classification Scheme
3.12 - Segment Data Processing and Storage Based on Sensitivity","AC-4: INFORMATION FLOW ENFORCEMENT
SI-4: INFORMATION SYSTEM MONITORING
SC-8: TRANSMISSION CONFIDENTIALITY AND INTEGRITY
SC-12: CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT
SC-17: PUBLIC KEY INFRASTRUCTURE CERTIFICATES
SC-28: PROTECTION OF INFORMATION AT REST
RA-2: SECURITY CATEGORIZATION","3.1
3.2 
3.3
3.4
3.5
3.6
3.7
4.1
A3.2",Define and implement data protection strategy,n/a,n/a
GS-4,Governance and Strategy,12.1 - Maintain an Inventory of Network Boundaries,"12.2 - Establish and Maintain a Secure Network Infrastructure
12.4 - Establish and Maintain Architecture Diagram(s)
","AC-4: INFORMATION FLOW ENFORCEMENT
AC-17: REMOTE ACCESS
CA-3: SYSTEM INTERCONNECTIONS
CM-1: CONFIGURATION MANAGEMENT POLICY AND PROCEDURES
CM-2: BASELINE CONFIGURATION
CM-6: CONFIGURATION SETTINGS
CM-7: LEAST FUNCTIONALITY
SC-1: SYSTEM AND COMMUNICATIONS PROTECTION POLICY AND PROCEDURES
SC-2: APPLICATION PARTITIONING
SC-5: DENIAL OF SERVICE PROTECTION
SC-7: BOUNDARY PROTECTION
SC-20: SECURE NAME / ADDRESS RESOLUTION SERVICE (AUTHORITATIVE SOURCE)
SC-21: SECURE NAME / ADDRESS RESOLUTION SERVICE (RECURSIVE OR CACHING RESOLVER)
SI-4: INFORMATION SYSTEM MONITORING













","1.1
1.2
1.3
1.5
4.1
6.6
11.4
A2.1
A2.2
A2.3
A3.2",Define and implement network security strategy,n/a,n/a
GS-5,Governance and Strategy,5.1 - Establish Secure Configurations,"4.1 - Establish and Maintain a Secure Configuration Process
4.2 - Establish and Maintain a Secure Configuration Process for Network Infrastructure","CA-1: SECURITY ASSESSMENT AND AUTHORIZATION POLICY AND PROCEDURES
CA-8: PENETRATION TESTING
CM-1: CONFIGURATION MANAGEMENT POLICY AND PROCEDURES
CM-2: BASELINE CONFIGURATION
CM-6: CONFIGURATION SETTINGS
RA-1: RISK ASSESSMENT POLICY AND PROCEDURES
RA-3: RISK ASSESSMENT
RA-5: VULNERABILITY SCANNING
SI-1: SYSTEM AND INFORMATION INTEGRITY POLICY AND PROCEDURES
SI-2: FLAW REMEDIATION
SI-5: SECURITY ALERTS, ADVISORIES, AND DIRECTIVES","1.1
1.2
2.2
6.1
6.2
6.5
6.6
11.2
11.3
11.5

",Define and implement security posture management strategy,n/a,n/a
GS-6,Governance and Strategy,"4.5 - Use Multifactor Authentication For All Administrative Access
16.2 - Configure Centralized Point of Authentication","5.6 - Centralize Account Management
6.5 - Require MFA for Administrative Access
6.7 - Centralize Access Control","AC-1: ACCESS CONTROL POLICY AND PROCEDURES
AC-2: ACCOUNT MANAGEMENT
AC-3: ACCESS ENFORCEMENT
AC-4: INFORMATION FLOW ENFORCEMENT
AC-5: SEPARATION OF DUTIES
AC-6: LEAST PRIVILEGE
IA-1: IDENTIFICATION AND AUTHENTICATION POLICY AND PROCEDURES
IA-2: IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS)
IA-4: IDENTIFIER MANAGEMENT
IA-5: AUTHENTICATOR MANAGEMENT
IA-8: IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS)
IA-9: SERVICE IDENTIFICATION AND AUTHENTICATION
SI-4: INFORMATION SYSTEM MONITORING","7.1
7.2
7.3
8.1
8.2
8.3
8.4
8.5
8.6
8.7
8.8
A3.4",Define and implement identity and privileged access strategy,n/a,n/a
GS-7,Governance and Strategy,"6.2 -Activate audit logging
6.3 - Enable Detailed Logging
6.6 - Deploy SIEM or Log Analytic tool
6.7 - Regularly Review Logs
19.1 - Document Incident Response Procedures
19.5 - Maintain Contact Information For Reporting Security Incidents
19.7 - Conduct Periodic Incident Scenario Sessions for Personnel","8.1 - Establish and Maintain an Audit Log Management Process
13.1 - Centralize Security Event Alerting
17.2 - Establish and Maintain Contact Information for Reporting Security Incidents
17.4 - Establish and Maintain an Incident Response Process
17.7 - Conduct Routine Incident Response Exercises","AU-1: AUDIT AND ACCOUNTABILITY POLICY AND PROCEDURES
IR-1: INCIDENT RESPONSE POLICY AND PROCEDURES
IR-2: INCIDENT RESPONSE TRAINING
IR-10: INTEGRATED INFORMATION SECURITY ANALYSIS TEAM
SI-1: SYSTEM AND INFORMATION INTEGRITY POLICY AND PROCEDURES
SI-5: SECURITY ALERTS, ADVISORIES, AND DIRECTIVES","10.1
10.2
10.3
10.4
10.5
10.6
10.7
10.8
10.9
12.10
A3.5","Define and implement logging, threat detection and incident response strategy",n/a,n/a
GS-8,Governance and Strategy,10.1 - Ensure Regular Automated Backups,11.1 - Establish and Maintain a Data Recovery Process ,"CP-1: CONTINGENCY PLANNING POLICY AND PROCEDURES
CP-9: INFORMATION SYSTEM BACKUP
CP-10: INFORMATION SYSTEM RECOVERY AND RECONSTITUTION
",3.4,Define and implement backup and recovery strategy,n/a,n/a
GS-9,Governance and Strategy,"8.1 - Utilize Centrally Managed Anti-malware Software
9.4 - Apply Host-Based Firewalls or Port-Filtering","4.4 - Implement and Manage a Firewall on Servers
10.1 - Deploy and Maintain Anti-Malware Software","SI-2: FLAW REMEDIATION
SI-3: MALICIOUS CODE PROTECTION
SC-3: SECURITY FUNCTION ISOLATION
","5.1
5.2
5.3
5.4
11.5",Define and implement endpoint security strategy,n/a,n/a
GS-10,Governance and Strategy,"5.1 - Establish Secure Configurations
18.1 - Establish Secure Coding Practices
18.8 - Establish a Process to Accept and Address Reports of Software Vulnerabilities

","4.1 - Establish and Maintain a Secure Configuration Process
4.2 - Establish and Maintain a Secure Configuration Process for Network Infrastructure
16.1 - Establish and Maintain a Secure Application Development Process
16.2 - Establish and Maintain a Process to Accept and Address Software Vulnerabilities
","SA-12: SUPPLY CHAIN PROTECTION
SA-15: DEVELOPMENT PROCESS, STANDARDS, AND TOOLS
CM-1: CONFIGURATION MANAGEMENT POLICY AND PROCEDURES
CM-2: BASELINE CONFIGURATION
CM-6: CONFIGURATION SETTINGS
AC-2: ACCOUNT MANAGEMENT
AC-3: ACCESS ENFORCEMENT
AC-6: LEAST PRIVILEGE
SA-11: DEVELOPER TESTING AND EVALUATION
AU-6: AUDIT REVIEW, ANALYSIS, AND REPORTING
AU-12: AUDIT GENERATION
SI-4: INFORMATION SYSTEM MONITORING","2.2
6.1
6.2
6.3
6.5
7.1
10.1
10.2
10.3
10.6
12.2",Define and implement DevOps security strategy,n/a,n/a
