Control Family,Control Title,ID,Ownership,Name,Description,Effect(s),Version,Azure Policy Guid
2 Security Center,Ensure that Microsoft Cloud App Security (MCAS) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.10,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Microsoft Cloud App Security (MCAS) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.10,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Microsoft Cloud App Security (MCAS) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.10,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Microsoft Cloud App Security (MCAS) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.10,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Microsoft Cloud App Security (MCAS) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.10,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
2 Security Center,Ensure that Microsoft Cloud App Security (MCAS) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.10,Shared,Update antivirus definitions,CMA_0517 - Update antivirus definitions,"Manual, Disabled",1:00:00,ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65)
2 Security Center,Ensure that 'Automatic provisioning of monitoring agent' is set to 'On',CIS Microsoft Azure Foundations Benchmark recommendation 2.11,Shared,---,---,---,---,
2 Security Center,Ensure that 'Automatic provisioning of monitoring agent' is set to 'On',CIS Microsoft Azure Foundations Benchmark recommendation 2.11,Shared,Auto provisioning of the Log Analytics agent should be enabled on your subscription,"To monitor for security vulnerabilities and threats, Azure Security Center collects data from your Azure virtual machines. Data is collected by the Log Analytics agent, formerly known as the Microsoft Monitoring Agent (MMA), which reads various security-related configurations and event logs from the machine and copies the data to your Log Analytics workspace for analysis. We recommend enabling auto provisioning to automatically deploy the agent to all supported Azure VMs and any new ones that are created.","AuditIfNotExists, Disabled",1:00:01,475aae12-b88a-4572-8b36-9b712b2b3a17)
2 Security Center,Ensure that 'Automatic provisioning of monitoring agent' is set to 'On',CIS Microsoft Azure Foundations Benchmark recommendation 2.11,Shared,Document security operations,CMA_0202 - Document security operations,"Manual, Disabled",1:00:00,2c6bee3a-2180-2430-440d-db3c7a849870)
2 Security Center,Ensure that 'Automatic provisioning of monitoring agent' is set to 'On',CIS Microsoft Azure Foundations Benchmark recommendation 2.11,Shared,Turn on sensors for endpoint security solution,CMA_0514 - Turn on sensors for endpoint security solution,"Manual, Disabled",1:00:00,5fc24b95-53f7-0ed1-2330-701b539b97fe)
2 Security Center,"Ensure any of the ASC Default policy setting is not set to ""Disabled""",CIS Microsoft Azure Foundations Benchmark recommendation 2.12,Shared,---,---,---,---,
2 Security Center,"Ensure any of the ASC Default policy setting is not set to ""Disabled""",CIS Microsoft Azure Foundations Benchmark recommendation 2.12,Shared,Configure actions for noncompliant devices,CMA_0062 - Configure actions for noncompliant devices,"Manual, Disabled",1:00:00,b53aa659-513e-032c-52e6-1ce0ba46582f)
2 Security Center,"Ensure any of the ASC Default policy setting is not set to ""Disabled""",CIS Microsoft Azure Foundations Benchmark recommendation 2.12,Shared,Develop and maintain baseline configurations,CMA_0153 - Develop and maintain baseline configurations,"Manual, Disabled",1:00:00,2f20840e-7925-221c-725d-757442753e7c)
2 Security Center,"Ensure any of the ASC Default policy setting is not set to ""Disabled""",CIS Microsoft Azure Foundations Benchmark recommendation 2.12,Shared,Enforce security configuration settings,CMA_0249 - Enforce security configuration settings,"Manual, Disabled",1:00:00,058e9719-1ff9-3653-4230-23f76b6492e0)
2 Security Center,"Ensure any of the ASC Default policy setting is not set to ""Disabled""",CIS Microsoft Azure Foundations Benchmark recommendation 2.12,Shared,Establish a configuration control board,CMA_0254 - Establish a configuration control board,"Manual, Disabled",1:00:00,7380631c-5bf5-0e3a-4509-0873becd8a63)
2 Security Center,"Ensure any of the ASC Default policy setting is not set to ""Disabled""",CIS Microsoft Azure Foundations Benchmark recommendation 2.12,Shared,Establish and document a configuration management plan,CMA_0264 - Establish and document a configuration management plan,"Manual, Disabled",1:00:00,526ed90e-890f-69e7-0386-ba5c0f1f784f)
2 Security Center,"Ensure any of the ASC Default policy setting is not set to ""Disabled""",CIS Microsoft Azure Foundations Benchmark recommendation 2.12,Shared,Implement an automated configuration management tool,CMA_0311 - Implement an automated configuration management tool,"Manual, Disabled",1:00:00,33832848-42ab-63f3-1a55-c0ad309d44cd)
2 Security Center,Ensure 'Additional email addresses' is configured with a security contact email,CIS Microsoft Azure Foundations Benchmark recommendation 2.13,Shared,---,---,---,---,
2 Security Center,Ensure 'Additional email addresses' is configured with a security contact email,CIS Microsoft Azure Foundations Benchmark recommendation 2.13,Shared,Subscriptions should have a contact email address for security issues,"To ensure the relevant people in your organization are notified when there is a potential security breach in one of your subscriptions, set a security contact to receive email notifications from Security Center.","AuditIfNotExists, Disabled",1:00:01,4f4f78b8-e367-4b10-a341-d9a4ad5cf1c7)
2 Security Center,Ensure that 'Notify about alerts with the following severity' is set to 'High',CIS Microsoft Azure Foundations Benchmark recommendation 2.14,Shared,---,---,---,---,
2 Security Center,Ensure that 'Notify about alerts with the following severity' is set to 'High',CIS Microsoft Azure Foundations Benchmark recommendation 2.14,Shared,Email notification for high severity alerts should be enabled,"To ensure the relevant people in your organization are notified when there is a potential security breach in one of your subscriptions, enable email notifications for high severity alerts in Security Center.","AuditIfNotExists, Disabled",1:00:01,6e2593d9-add6-4083-9c9b-4b7d2188c899)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,---,---,---,---,
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Azure Defender for App Service should be enabled,"Azure Defender for App Service leverages the scale of the cloud, and the visibility that Azure has as a cloud provider, to monitor for common web app attacks.","AuditIfNotExists, Disabled",1:00:03,2913021d-f2fd-4f3d-b958-22354e2bdbcb)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"Manual, Disabled",1:00:00,3d399cf3-8fc6-0efc-6ab0-1412f1198517)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Detect network services that have not been authorized or approved,CMA_C1700 - Detect network services that have not been authorized or approved,"Manual, Disabled",1:00:00,86ecd378-a3a0-5d5b-207c-05e6aaca43fc)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
2 Security Center,Ensure that Azure Defender is set to On for App Service,CIS Microsoft Azure Foundations Benchmark recommendation 2.2,Shared,Update antivirus definitions,CMA_0517 - Update antivirus definitions,"Manual, Disabled",1:00:00,ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,---,---,---,---,
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Azure Defender for Azure SQL Database servers should be enabled,"Azure Defender for SQL provides functionality for surfacing and mitigating potential database vulnerabilities, detecting anomalous activities that could indicate threats to SQL databases, and discovering and classifying sensitive data.","AuditIfNotExists, Disabled",1:00:02,7fe3b40f-802b-4cdd-8bd4-fd799c948cc2)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"Manual, Disabled",1:00:00,3d399cf3-8fc6-0efc-6ab0-1412f1198517)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Detect network services that have not been authorized or approved,CMA_C1700 - Detect network services that have not been authorized or approved,"Manual, Disabled",1:00:00,86ecd378-a3a0-5d5b-207c-05e6aaca43fc)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
2 Security Center,Ensure that Azure Defender is set to On for Azure SQL database servers,CIS Microsoft Azure Foundations Benchmark recommendation 2.3,Shared,Update antivirus definitions,CMA_0517 - Update antivirus definitions,"Manual, Disabled",1:00:00,ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,---,---,---,---,
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Azure Defender for SQL servers on machines should be enabled,"Azure Defender for SQL provides functionality for surfacing and mitigating potential database vulnerabilities, detecting anomalous activities that could indicate threats to SQL databases, and discovering and classifying sensitive data.","AuditIfNotExists, Disabled",1:00:02,6581d072-105e-4418-827f-bd446d56421b)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"Manual, Disabled",1:00:00,3d399cf3-8fc6-0efc-6ab0-1412f1198517)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Detect network services that have not been authorized or approved,CMA_C1700 - Detect network services that have not been authorized or approved,"Manual, Disabled",1:00:00,86ecd378-a3a0-5d5b-207c-05e6aaca43fc)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
2 Security Center,Ensure that Azure Defender is set to On for SQL servers on machines,CIS Microsoft Azure Foundations Benchmark recommendation 2.4,Shared,Update antivirus definitions,CMA_0517 - Update antivirus definitions,"Manual, Disabled",1:00:00,ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,---,---,---,---,
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Azure Defender for Storage should be enabled,Azure Defender for Storage provides detections of unusual and potentially harmful attempts to access or exploit storage accounts.,"AuditIfNotExists, Disabled",1:00:03,308fbb08-4ab8-4e67-9b29-592e93fb94fa)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"Manual, Disabled",1:00:00,3d399cf3-8fc6-0efc-6ab0-1412f1198517)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Detect network services that have not been authorized or approved,CMA_C1700 - Detect network services that have not been authorized or approved,"Manual, Disabled",1:00:00,86ecd378-a3a0-5d5b-207c-05e6aaca43fc)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
2 Security Center,Ensure that Azure Defender is set to On for Storage,CIS Microsoft Azure Foundations Benchmark recommendation 2.5,Shared,Update antivirus definitions,CMA_0517 - Update antivirus definitions,"Manual, Disabled",1:00:00,ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,---,---,---,---,
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"Manual, Disabled",1:00:00,3d399cf3-8fc6-0efc-6ab0-1412f1198517)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Detect network services that have not been authorized or approved,CMA_C1700 - Detect network services that have not been authorized or approved,"Manual, Disabled",1:00:00,86ecd378-a3a0-5d5b-207c-05e6aaca43fc)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Microsoft Defender for Containers should be enabled,"Microsoft Defender for Containers provides hardening, vulnerability assessment and run-time protections for your Azure, hybrid, and multi-cloud Kubernetes environments.","AuditIfNotExists, Disabled",1:00:00,1c988dd6-ade4-430f-a608-2a3e5b0a6d38)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
2 Security Center,Ensure that Azure Defender is set to On for Kubernetes,CIS Microsoft Azure Foundations Benchmark recommendation 2.6,Shared,Update antivirus definitions,CMA_0517 - Update antivirus definitions,"Manual, Disabled",1:00:00,ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,---,---,---,---,
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"Manual, Disabled",1:00:00,3d399cf3-8fc6-0efc-6ab0-1412f1198517)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Detect network services that have not been authorized or approved,CMA_C1700 - Detect network services that have not been authorized or approved,"Manual, Disabled",1:00:00,86ecd378-a3a0-5d5b-207c-05e6aaca43fc)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Microsoft Defender for Containers should be enabled,"Microsoft Defender for Containers provides hardening, vulnerability assessment and run-time protections for your Azure, hybrid, and multi-cloud Kubernetes environments.","AuditIfNotExists, Disabled",1:00:00,1c988dd6-ade4-430f-a608-2a3e5b0a6d38)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
2 Security Center,Ensure that Azure Defender is set to On for Container Registries,CIS Microsoft Azure Foundations Benchmark recommendation 2.7,Shared,Update antivirus definitions,CMA_0517 - Update antivirus definitions,"Manual, Disabled",1:00:00,ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,---,---,---,---,
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Azure Defender for Key Vault should be enabled,Azure Defender for Key Vault provides an additional layer of protection and security intelligence by detecting unusual and potentially harmful attempts to access or exploit key vault accounts.,"AuditIfNotExists, Disabled",1:00:03,0e6763cc-5078-4e64-889d-ff4d9a839047)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"Manual, Disabled",1:00:00,3d399cf3-8fc6-0efc-6ab0-1412f1198517)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Detect network services that have not been authorized or approved,CMA_C1700 - Detect network services that have not been authorized or approved,"Manual, Disabled",1:00:00,86ecd378-a3a0-5d5b-207c-05e6aaca43fc)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
2 Security Center,Ensure that Azure Defender is set to On for Key Vault,CIS Microsoft Azure Foundations Benchmark recommendation 2.8,Shared,Update antivirus definitions,CMA_0517 - Update antivirus definitions,"Manual, Disabled",1:00:00,ea9d7c95-2f10-8a4d-61d8-7469bd2e8d65)
2 Security Center,Ensure that Windows Defender ATP (WDATP) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.9,Shared,---,---,---,---,
2 Security Center,Ensure that Windows Defender ATP (WDATP) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.9,Shared,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"Manual, Disabled",1:00:00,3d399cf3-8fc6-0efc-6ab0-1412f1198517)
2 Security Center,Ensure that Windows Defender ATP (WDATP) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.9,Shared,Detect network services that have not been authorized or approved,CMA_C1700 - Detect network services that have not been authorized or approved,"Manual, Disabled",1:00:00,86ecd378-a3a0-5d5b-207c-05e6aaca43fc)
2 Security Center,Ensure that Windows Defender ATP (WDATP) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.9,Shared,Manage gateways,CMA_0363 - Manage gateways,"Manual, Disabled",1:00:00,63f63e71-6c3f-9add-4c43-64de23e554a7)
2 Security Center,Ensure that Windows Defender ATP (WDATP) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.9,Shared,Perform a trend analysis on threats,CMA_0389 - Perform a trend analysis on threats,"Manual, Disabled",1:00:00,50e81644-923d-33fc-6ebb-9733bc8d1a06)
2 Security Center,Ensure that Windows Defender ATP (WDATP) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.9,Shared,Perform vulnerability scans,CMA_0393 - Perform vulnerability scans,"Manual, Disabled",1:00:00,3c5e0e1a-216f-8f49-0a15-76ed0d8b8e1f)
2 Security Center,Ensure that Windows Defender ATP (WDATP) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.9,Shared,Review malware detections report weekly,CMA_0475 - Review malware detections report weekly,"Manual, Disabled",1:00:00,4a6f5cbd-6c6b-006f-2bb1-091af1441bce)
2 Security Center,Ensure that Windows Defender ATP (WDATP) integration with Security Center is selected,CIS Microsoft Azure Foundations Benchmark recommendation 2.9,Shared,Review threat protection status weekly,CMA_0479 - Review threat protection status weekly,"Manual, Disabled",1:00:00,fad161f5-5261-401a-22dd-e037bae011bd)
